date,amount_tx
2021.02.09_16:19,102857
2021.02.09_16:24,104473
2021.02.09_16:29,105972
2021.02.09_16:34,104528
2021.02.09_16:39,102876
2021.02.09_16:44,101415
2021.02.09_16:49,102940
2021.02.09_16:54,104424
2021.02.09_16:59,103452
2021.02.09_17:04,102919
2021.02.09_17:09,104414
2021.02.09_17:14,105899
2021.02.09_17:19,105664
2021.02.09_17:24,107080
2021.02.09_17:29,108509
2021.02.09_17:34,108252
2021.02.09_17:39,107664
2021.02.09_17:45,109210
2021.02.09_17:50,106335
2021.02.09_17:55,108005
2021.02.09_18:00,105526
2021.02.09_18:05,104452
2021.02.09_18:10,106053
2021.02.09_18:15,107624
2021.02.09_18:20,109115
2021.02.09_18:25,110615
2021.02.09_18:30,108900
2021.02.09_18:35,110599
2021.02.09_18:41,112278
2021.02.09_18:46,111097
2021.02.09_18:51,110038
2021.02.09_18:57,105950
2021.02.09_19:02,107727
2021.02.09_19:07,104379
2021.02.09_19:13,106156
2021.02.09_19:18,102687
2021.02.09_19:23,104292
2021.02.09_19:29,105691
2021.02.09_19:34,107126
2021.02.09_19:39,106007
2021.02.09_19:44,104695
2021.02.09_19:50,106364
2021.02.09_19:55,105065
2021.02.09_20:00,106703
2021.02.09_20:05,108171
2021.02.09_20:10,106542
2021.02.09_20:16,108116
2021.02.09_20:21,106864
2021.02.09_20:26,108318
2021.02.09_20:31,109829
2021.02.09_20:36,111042
2021.02.09_20:47,113668
2021.02.09_20:52,115033
2021.02.09_20:57,113210
2021.02.09_21:02,114850
2021.02.09_21:08,113998
2021.02.09_21:14,115742
2021.02.09_21:19,117034
2021.02.09_21:24,116004
2021.02.09_21:29,117543
2021.02.09_21:34,118797
2021.02.09_21:40,120076
2021.02.09_21:46,115621
2021.02.09_21:50,114210
2021.02.09_21:56,112876
2021.02.09_22:02,113026
2021.02.09_22:07,114501
2021.02.09_22:12,115845
2021.02.09_22:17,114427
2021.02.09_22:23,113410
2021.02.09_22:29,112499
2021.02.09_22:34,114156
2021.02.09_22:39,112718
2021.02.09_22:45,114087
2021.02.09_22:50,115299
2021.02.09_22:55,116522
2021.02.09_23:00,114729
2021.02.09_23:05,116190
2021.02.09_23:10,117287
2021.02.09_23:15,116217
2021.02.09_23:21,116411
2021.02.09_23:27,117346
2021.02.09_23:32,118560
2021.02.09_23:37,119793
2021.02.09_23:42,120885
2021.02.09_23:47,121952
2021.02.09_23:52,122988
2021.02.09_23:57,124057
2021.02.10_00:02,119141
2021.02.10_00:08,120275
2021.02.10_00:13,121337
2021.02.10_00:18,119486
2021.02.10_00:23,111568
2021.02.10_00:29,112805
2021.02.10_00:34,113985
2021.02.10_00:39,114965
2021.02.10_00:44,109461
2021.02.10_00:49,108486
